Year;Month;Day;PM25max;O3max;NO2max;Death;Tmean;Tmax;RH;OXmax
2000;1;1;62.25;13.2;47.08333333;47;-5.83;0.5291225416036308;55.26607025;18.1965023847377
2000;1;2;52.75;13.8;41.16666667;54;0.52;4.681164901664145;70.17772824;15.9953895071542
2000;1;3;21.75;24.66666667;30.75;51;-0.67;3.0639183055975794;73.56928086;17.7235294117647
2000;1;4;13;26.26666667;34.08333333;57;0.63;7.081568330811901;56.60169214;18.7265500794913
2000;1;5;7.75;27.66666667;26.5;47;-9.53;-7.002395360564801;79.68520438;18.6058823529412
2000;1;6;20;19.06666667;31.83333333;55;-7.58;-0.8644730206757438;53.16897305;16.3368662780427
2000;1;7;19;19.73333333;30.91666667;59;-2.58;1.1858295511850732;73.48913449;16.9712241653418
2000;1;8;26.75;23;32.66666667;66;-6.04;-0.42032274331820474;60.05834918;16.606200317965
2000;1;9;31;14.86666667;33.75;57;-0.61;3.7095310136157336;70.11097384;13.0877583465819
2000;1;10;18.5;14.46666667;33.41666667;63;1.94;4.328794755421079;83.05617433;14.0803744921392
2000;1;11;11.25;17.93333333;33;70;2.42;5.047276853252647;81.01636088;15.9016074898428
2000;1;12;9.5;22.13333333;28.18181818;48;-5.75;-2.8663640948058497;78.51031123;15.7921871451283
2000;1;13;9;24.4;28.18181818;65;-14.66;-12.382753403933433;81.6826404;17.6802685037979
2000;1;14;5.5;28;21.81818182;57;-18.52;-15.93166918809884;81.46138608;19.993993993994
2000;1;15;25.5;23.8;29;52;-16.57;-9.406454866364095;49.38252787;17.1798268857092
2000;1;16;18.75;25.53333333;30.45454545;48;-11.51;-3.6459909228441756;44.89270512;17.8657481010422
2000;1;17;14.75;26.6;34.36363636;39;-21.69;-17.835350479072112;70.74906345;19.6111741994095
2000;1;18;34;21.78571429;45.72727273;56;-22.59;-17.864473020675742;65.08849915;20.3056438791733
2000;1;19;57.75;21.86666667;48.63636364;45;-20.29;-13.478946041351488;48.232139;18.8282988871224
2000;1;20;38.25;21.6;44.63636364;62;-16.11;-11.983988905698437;69.35618996;18.1354884296061
2000;1;21;6.75;27.8;26.90909091;54;-17.76;-15.169188098840142;78.09799075;19.1969395866455
2000;1;22;9.25;31;22.1;50;-21.82;-19.050176500252142;73.32540305;20.8926868044515
2000;1;23;27.25;25.6;33.7;51;-19.21;-11.499621785173979;44.28070188;19.3851351351351
2000;1;24;46;23.6;57.5;41;-10.47;-3.7967725668179524;52.95849691;22.6901828298887
2000;1;25;44.25;22.33333333;44.45454545;41;-12.24;-6.293998991427131;55.05195102;18.2393570040629
2000;1;26;7;24.6;32.72727273;44;-7.99;-5.584972264246092;81.448459;18.8732682262094
2000;1;27;6;27.86666667;29.72727273;57;-15.79;-12.706505295007565;73.95229854;19.8899487723017
