Year;Month;Day;PM25max;O3max;Death;Tmean;RH;OXmax
2000;1;1;29;21.75;6;-11.3095312;55.22981264;18.489666136725
2000;1;2;27;25.25;12;-6.446600435;73.37299786;17.6804451510334
2000;1;3;17;27.5;7;-6.279261099;69.31970017;20.6767355590885
2000;1;4;13;31;4;-3.524448929;56.23881593;21.4361420243773
2000;1;5;6;32.75;3;-12.85276312;67.1136412;22.154213036566
2000;1;6;31;23.75;5;-14.11207699;45.79545183;22.8251192368839
2000;1;7;43;25.75;4;-6.163303322;70.0012393;20.5177530471648
2000;1;8;9;30.25;7;-11.39545172;62.01216986;20.3948065712771
2000;1;9;32;22.25;7;-6.545715616;65.25171824;18.5723370429253
2000;1;10;33;26;10;-4.588714685;79.85743447;18.0667726550079
2000;1;11;25;24;10;-1.795017075;73.3004041;17.1579226285108
2000;1;12;7;26.5;6;-10.0064421;69.26059321;18.8055113937467
2000;1;13;7;30.75;7;-18.5699317;72.9817331;21.6147323794383
2000;1;14;6;32.25;8;-22.93433716;73.48173609;22.3741388447271
2000;1;15;28;26.5;5;-22.96693573;48.93045269;18.4859565447801
2000;1;16;24;32.5;4;-17.07280348;46.56391048;23.5066242713302
2000;1;17;185;28.25;6;-21.66462279;76.46126536;20.1664016958135
2000;1;18;21;26.5;5;-23.69171065;62.68351042;21.0169581346052
2000;1;19;55;22.5;3;-23.66291524;42.83088938;19.0789613142555
2000;1;20;86;19.25;4;-19.35284073;46.32113108;27.5675675675676
2000;1;21;71;32.75;2;-18.71064887;78.48162337;21.7641759406466
2000;1;22;5;34.25;4;-21.71297734;79.90580463;23.2331743508214
2000;1;23;19;31.75;5;-20.72586153;37.01216168;22.3280339162692
2000;1;24;76;31.25;5;-13.37666874;53.60878768;25.3343932167462
2000;1;25;79;33.25;4;-13.56628376;48.32753712;25.0233174350821
2000;1;26;10;33.5;10;-8.502871779;83.00167725;23.5649178590355
2000;1;27;8;31;3;-16.12333126;78.68695379;21.8844727080021
2000;1;28;8;33;4;-17.10384974;72.33507944;23.1250662427133
2000;1;29;21;36.75;8;-13.68084446;53.94520788;26.5733969263381
2000;1;30;38;34.5;2;-10.74487737;48.65410204;26.4361420243773
2000;1;31;56;31.5;5;-8.728112387;57.17243425;25.5892951775305
2000;2;1;10;33.25;5;-7.115104005;76.42495455;23.5855855855856
2000;2;2;5;34;5;-14.7753027;82.01014619;23.7556968733439
2000;2;3;11;33.25;6;-15.67890407;59.70459905;23.5855855855856
2000;2;4;56;29.25;4;-17.82474387;41.07985889;30.4144144144144
2000;2;5;25;32.25;5;-16.53399565;52.57256117;23.8177000529942
2000;2;6;15;36.25;4;-13.84756287;56.72249682;24.7228404875464
2000;2;7;12;36.75;5;-13.51800683;55.87099888;25.1128775834658
2000;2;8;19;31.75;2;-17.28997206;36.02901388;23.46528881823
2000;2;9;18;37.25;3;-10.3854393;52.4446201;25.9136195018548
2000;2;10;20;34.25;4;-17.92432474;41.70516295;27.0291467938527
2000;2;11;10;35;9;-11.03647935;65.36924495;24.1748807631161
2000;2;12;23;34.5;7;-17.40895685;56.51958725;23.8346581875994
2000;2;13;39;38.25;2;-16.32660664;39.65151284;28.1955484896661
2000;2;14;14;36.5;4;-8.969885129;83.74460467;26.0047694753577
2000;2;15;19;38;4;-8.69240919;67.50119247;27.0084790673026
2000;2;16;35;37.75;6;-9.906162682;58.88180951;27.5686274509804
2000;2;17;10;36.75;4;-19.19667805;70.53012141;25.1833598304186
2000;2;18;31;36.75;3;-17.92401428;37.06140487;29.3158452570218
2000;2;19;40;40.75;2;-12.5377212;39.3149801;30.0837307896132
2000;2;20;47;45.5;7;-14.55371003;44.10078713;35.3948065712771
2000;2;21;35;41.25;5;-14.43775225;54.40617597;28.3619501854796
2000;2;22;26;37.25;6;-11.84950326;33.96551302;28.2162162162162
2000;2;23;32;25.5;4;-1.248370071;65.43641519;24.1616322204558
2000;2;24;33;36.5;2;-0.213598261;60.30706721;28.6974032856386
2000;2;25;7;39.25;4;-5.089801304;63.03672835;27.9051404345522
2000;2;26;48;37.25;0;-3.349580876;52.52259995;30.2321144674086
2000;2;27;52;49.75;1;5.851831729;65.0468098;41.3195548489666
2000;2;28;35;32;4;1.889320087;81.9471224;20.1240063593005
2000;2;29;7;37.25;3;-1.405774604;69.25927184;25.4568097509274
2000;3;1;29;36.75;5;-2.942176343;59.60806496;29.489666136725
2000;3;2;4;32.75;4;-0.264514126;91.29488604;22.9634340222576
2000;3;3;10;30.75;6;-0.332194971;85.17388993;21.3948065712771
2000;3;4;19;38;2;-2.04618131;78.90376031;25.9841017488076
2000;3;5;22;39;4;-1.399720584;73.61242197;27.6523582405935
2000;3;6;10;41.25;5;-1.151583359;77.12873001;26.6110227874934
2000;3;7;19;37;2;0.253880782;60.86202097;24.8036565977742
2000;3;8;21;38.5;5;-1.424014281;66.21621371;27.954954954955
2000;3;9;26;35.5;2;0.951800683;58.53513407;26.6560678325384
2000;3;10;8;38.75;5;-10.31473145;66.13604821;28.9793322734499
2000;3;11;5;37;4;-7.635206458;72.33358386;26.0752517223105
2000;3;12;17;37.25;2;-4.410353927;82.83236833;31.199258081611
2000;3;13;19;40.75;0;-10.3576529;58.70918049;31.9003709591945
2000;3;14;34;37.25;2;-10.08832661;36.46447327;31.1579226285108
2000;3;15;20;39;1;-1.29920832;76.39784125;27.8346581875994
2000;3;16;15;41.75;1;-3.861223223;71.21067552;28.8516163222046
2000;3;17;8;39.25;2;-10.08452344;75.6328995;27.353471118177
2000;3;18;13;38.25;1;-11.52794163;47.81790882;28.154213036566
2000;3;19;13;40.75;2;-7.355013971;40.01711481;29.0922098569157
2000;3;20;10;39;1;-0.818689848;70.67451574;26.9634340222576
2000;3;21;9;43.25;6;1.279261099;66.33276801;30.9342872284049
2000;3;22;27;48.5;4;3.041990065;52.64091352;34.7350291467938
2000;3;23;26;51.75;4;4.873719342;58.30839607;36.8516163222046
2000;3;24;18;43.25;2;1.933561006;61.24103455;31.2125066242714
2000;3;25;23;40.25;4;0.255588327;60.68246843;28.7933227344992
2000;3;26;21;34.5;6;3.08398013;78.59334874;23.9136195018548
2000;3;27;19;39.5;5;3.527708786;64.61036376;28.1833598304186
2000;3;28;19;44.75;7;3.745498292;84.04626925;29.9427662957075
2000;3;29;15;37.75;2;3.775923626;80.07020664;28.2265500794913
2000;3;30;6;24.5;6;1.274371313;89.18993881;17.8261791202968
2000;3;31;5;32.5;5;2.093604471;74.16189187;22.7641759406466
2000;4;1;15;41.75;2;3.608817138;70.97810526;27.4117647058824
2000;4;2;23;30.5;2;4.249223844;79.26788782;21.7885532591415
2000;4;3;20;39.75;5;4.786712201;56.17478131;28.7933227344992
2000;4;4;11;36;3;3.508460106;89.98798722;26.0545839957604
2000;4;5;8;28.25;3;-0.367044396;80.45028417;19.0752517223105
2000;4;6;10;37.75;2;0.611688916;67.43286504;26.0132485426603
2000;4;7;14;33.75;2;1.443185346;65.65284652;24.6852146263911
2000;4;8;13;34;6;0.536867432;89.68398393;22.7143614202438
2000;4;9;25;32.5;2;1.965926731;72.91971421;20.3571807101219
2000;4;10;9;42.75;1;-2.067059919;74.76403629;28.4615792262851
2000;4;11;11;41.5;5;-4.095622477;68.35710147;28.0922098569157
2000;4;12;10;38.5;5;-2.787100279;80.92976214;26.1128775834658
2000;4;13;16;43.75;1;-2.914778019;58.76818203;29.6110227874934
2000;4;14;18;44.5;4;-0.792378143;50.57096595;31.8929517753047
2000;4;15;17;37.5;4;3.685889475;84.69366399;25.0254372019078
2000;4;16;7;42.5;1;0.835998137;72.47556957;28.7811340752517
2000;4;17;8;38.5;6;-2.889785781;59.62096991;26.6936936936937
2000;4;18;6;38.75;2;0.447376591;55.28930813;27.5029146793852
2000;4;19;13;38.25;3;3.814110525;81.36263055;27.1250662427133
2000;4;20;14;40.5;3;4.402204284;61.687226;28.1335453100159
2000;4;21;8;41.25;3;3.59469109;69.60951578;27.751987281399
2000;4;22;9;40.75;4;2.124029804;88.51607599;27.1128775834658
2000;4;23;4;43.25;0;1.955836697;90.0203407;27.2623211446741
2000;4;24;9;42.75;5;2.195746663;74.60472765;28.154213036566
2000;4;25;9;41.5;7;0.557978889;65.64633631;27.2623211446741
2000;4;26;7;44.5;4;2.59414778;55.72890083;32.6936936936937
2000;4;27;9;45.75;1;1.562635827;68.66850998;32.4944356120827
2000;4;28;13;47.25;3;6.327305185;58.25200084;33.2209856915739
2000;4;29;12;43.75;9;7.369450481;51.76655848;28.95124536301
2000;4;30;9;46.5;6;3.620071406;63.34543419;31.0800211976682
2000;5;1;11;42.75;2;3.15049674;55.42855951;29.6523582405935
2000;5;2;11;47.75;1;4.732226017;65.73751392;32.2003179650238
2000;5;3;18;48;4;5.425799441;45.533084;33.2209856915739
2000;5;4;25;74.75;3;11.01645452;41.09706761;51.8065712771595
2000;5;5;26;49.25;1;12.27204284;69.53073796;31.1420243773185
2000;5;6;10;34.25;2;8.511564731;63.30277332;23.7350291467938
2000;5;7;27;53;3;15.91974542;54.69338043;34.8722840487547
2000;5;8;32;43.25;2;12.64257994;67.75007821;30.1128775834658
2000;5;9;8;38.5;1;5.254501708;84.53991786;25.4531001589825
2000;5;10;7;40.75;1;3.807901273;90.33826058;27.2125066242714
2000;5;11;10;28.5;4;6.6205371;82.07770144;19.2782193958665
2000;5;12;9;36.25;3;7.085221981;61.50474053;24.3741388447271
2000;5;13;7;31.25;3;8.620071406;72.0365303;22.8261791202968
2000;5;14;14;35.25;8;11.69489289;72.12229811;23.552729199788
2000;5;15;10;35.75;3;7.747826762;73.51153595;25.0837307896132
2000;5;16;12;45.75;2;7.098494256;55.71424686;32.3600953895072
2000;5;17;14;50.25;3;8.445513816;49.54951038;34.3704292527822
2000;5;18;21;38.25;2;7.446833282;76.6924659;25.0169581346052
2000;5;19;10;36.75;4;4.706535238;56.08257304;24.4531001589825
2000;5;20;24;43.5;2;8.026855014;44.97062325;29.8224695283519
2000;5;21;29;50.25;2;10.954362;46.37684906;33.2501324854266
2000;5;22;14;47.25;3;12.80790127;53.44492632;31.3206147323795
2000;5;23;15;41.25;3;11.363086;83.46848706;28.863804981452
2000;5;24;9;41;1;8.154455138;91.08361963;27.3619501854796
2000;5;25;3;27.75;1;8.822958708;85.44742614;17.9464758876523
2000;5;26;8;27;1;10.28841975;70.62714945;18.6852146263911
2000;5;27;1;24.5;4;9.391338094;79.63351323;16.5649178590355
2000;5;28;4;29;2;8.646150264;83.03757453;19.664546899841
2000;5;29;10;35;5;9.192486805;60.30623376;23.4446210916799
2000;5;30;21;51.25;6;12.14320087;48.4544557;36.6608373078962
2000;5;31;26;42.5;3;14.75939149;74.2527833;29.2829888712242
2000;6;1;37;37;5;15.11751009;59.70514753;24.6730259671436
2000;6;2;NA;25.25;0;8.378609128;81.27612492;17.6269210386857
2000;6;3;NA;38.5;4;11.05642658;63.22493022;25.7021727609963
2000;6;4;NA;33.75;1;7.078158957;63.12480428;21.353471118177
2000;6;5;NA;43;3;8.290670599;48.08283915;31.6316905140434
2000;6;6;NA;32;2;8.922384353;74.95401456;23.0752517223105
2000;6;7;NA;38.75;4;10.58320397;56.19687365;27.1420243773185
2000;6;8;NA;37;5;9.349736107;52.88303168;27.5601483836778
2000;6;9;NA;34.25;6;11.73564111;67.65955009;23.7933227344992
2000;6;10;NA;28.66666667;4;8.330565042;86.4995327;20.1852146263911
2000;6;11;NA;32;5;8.122943185;68.78957082;21.1335453100159
2000;6;12;NA;38;6;9.598416641;48.93781503;26.9841017488076
2000;6;13;NA;35.5;4;12.46662527;51.46127846;25.2538420773715
2000;6;14;NA;34.66666667;4;12.60734244;57.14741796;24.8139904610493
2000;6;15;NA;32.25;5;17.19582428;72.84244441;24.9379968203498
2000;6;16;NA;48.75;4;21.19947221;75.67227462;36.6899841017488
2000;6;17;NA;34;5;18.04276622;68.39887665;22.1833598304186
2000;6;18;NA;23.75;4;9.607109593;69.1536137;15.8759936406995
2000;6;19;NA;37.25;3;12.14327848;47.2656895;26.353471118177
2000;6;20;NA;37.25;1;17.12294319;52.14768148;25.9427662957075
2000;6;21;NA;27;0;15.39746973;78.38938986;19.311075781664
2000;6;22;NA;50.25;3;19.45793232;71.42386759;34.6316905140434
2000;6;23;NA;27.75;2;16.29633654;69.96699334;18.46528881823
2000;6;24;NA;42;1;15.09181931;51.41632728;27.5818759936407
2000;6;25;NA;33.25;4;17.35617821;77.39492896;23.6475887652358
2000;6;26;NA;46.25;2;21.3933561;65.89044397;31.4032856385798
2000;6;27;NA;40;4;20.2574511;69.13477299;27.8844727080021
2000;6;28;NA;33.25;3;16.05122633;64.03201448;22.7641759406466
2000;6;29;NA;39.25;6;17.05588327;70.23486654;25.6730259671436
2000;6;30;NA;34.75;4;14.65313567;75.21097285;22.7848436671966
2000;7;1;NA;37;3;16.29447377;61.14493162;25.6730259671436
2000;7;2;NA;61.75;1;18.78686743;70.28118824;40.507684154743
2000;7;3;NA;44.75;4;17.96786712;71.71088154;29.5612082670906
2000;7;4;NA;38.5;3;17.27452654;60.30442788;25.0339162692104
2000;7;5;NA;17.25;4;12.54160199;78.8904978;10.8863275039746
2000;7;6;NA;16.5;2;13.90003105;72.00712558;10.9173290937997
2000;7;7;NA;14.25;3;12.32031978;75.05392788;11.9483306836248
2000;7;8;NA;29;4;14.0168426;59.05449337;20.7556968733439
2000;7;9;NA;32.75;2;13.93472524;53.67605178;21.4944356120827
2000;7;10;NA;25.5;2;15.69675567;78.78163972;17.0291467938527
2000;7;11;NA;26;3;14.3606023;73.19618282;17.9756226815051
2000;7;12;NA;29.25;0;17.40678361;55.32379761;19.9841017488076
2000;7;13;NA;36;3;17.47749146;52.51016552;24.9136195018548
2000;7;14;NA;51.25;1;18.97702577;55.77624575;39.5649178590355
2000;7;15;NA;46.5;3;18.68239677;64.51171865;32.2209856915739
2000;7;16;NA;27.66666667;1;16.95280969;75.44387022;18.164546899841
2000;7;17;NA;27.5;1;16.59701956;79.6111847;18.9756226815051
2000;7;18;NA;37.25;2;17.24829246;72.57658555;26.5686274509804
2000;7;19;NA;19.75;8;12.48323502;79.17741108;13.6767355590885
2000;7;20;NA;27.25;2;12.78973921;52.27874903;19.4361420243773
2000;7;21;NA;43.75;2;15.6740919;60.37204713;29.7726550079491
2000;7;22;NA;31.75;1;15.30464142;73.17517192;21.9342872284049
2000;7;23;NA;29.33333333;1;16.47787954;62.88761767;20.154213036566
2000;7;24;NA;33.66666667;3;18.15670599;54.89363366;21.654213036566
2000;7;25;NA;46.75;6;19.06682707;53.16563398;32.8018018018018
2000;7;26;NA;41.5;2;20.20475008;60.18891114;27.9719130895601
2000;7;27;NA;33;2;17.72834523;64.66864482;22.0837307896132
2000;7;28;NA;43;4;20.37620304;70.03744333;28.042395336513
2000;7;29;NA;35;1;20.27367277;65.42501762;23.154213036566
2000;7;30;NA;27.5;1;18.78810928;64.91777419;18.4859565447801
2000;7;31;NA;33;2;19.99511021;60.25848895;23.1955484896661
2000;8;1;NA;33;4;18.83615337;73.37657317;21.4154742978272
2000;8;2;13;29.25;6;20.58824899;77.30025517;26.3449920508744
2000;8;3;52;45;1;20.79191245;76.54797118;28.4324324324324
2000;8;4;7;24.5;2;14.73556349;76.1797132;17.0461049284579
2000;8;5;10;27;3;17.05650419;62.01319087;17.2745098039216
2000;8;6;14;38.5;4;16.87185657;56.68764833;25.6936936936937
2000;8;7;12;32.5;4;16.90507606;89.09935362;21.6269210386857
